Booking_ID,Hotel_Area,Hotel_Tier,Room_Type,Check_In,Check_Out,Nights,Rooms,ADR_INR,Booking_Status,Booking_Channel,Customer_Type,Estimated_Occupancy,Booking_Revenue_INR
DELJUL26-01407,Paharganj,Economy,Standard,2026-07-31,2026-08-05,5,1,2474,Completed,MakeMyTrip,Group,0.481,12370
DELJUL26-01408,Lajpat Nagar,Upscale,Standard,2026-07-04,2026-07-08,4,1,6839,Completed,Direct,Family,0.517,27355
DELJUL26-01409,Aerocity,Economy,Premium,2026-07-22,2026-07-26,4,1,7610,Confirmed,MakeMyTrip,Group,0.763,30439
DELJUL26-01410,Karol Bagh,Budget,Standard,2026-07-01,2026-07-05,4,1,2373,Completed,Walk-in,Couple,0.829,9490
DELJUL26-01411,Aerocity,Economy,Deluxe,2026-07-29,2026-07-30,1,3,7946,Completed,Agoda,Business,0.728,23839
DELJUL26-01412,Dwarka,Midscale,Standard,2026-07-12,2026-07-17,5,2,3095,Completed,Direct,Business,0.387,30952
DELJUL26-01413,Karol Bagh,Midscale,Standard,2026-07-01,2026-07-03,2,3,5141,Completed,Walk-in,Group,0.61,30848
DELJUL26-01414,Greater Kailash,Economy,Standard,2026-07-26,2026-07-30,4,3,3918,Confirmed,Agoda,Leisure,0.646,47019
DELJUL26-01415,Dwarka,Economy,Deluxe,2026-07-30,2026-08-04,5,3,2922,Confirmed,Walk-in,Leisure,0.565,43826
DELJUL26-01416,Greater Kailash,Economy,Standard,2026-07-29,2026-07-30,1,3,4303,Completed,Direct,Leisure,0.602,12908
DELJUL26-01417,South Delhi,Midscale,Suite,2026-07-16,2026-07-18,2,1,5961,Confirmed,Walk-in,Family,0.64,11922
DELJUL26-01418,Saket,Budget,Standard,2026-07-02,2026-07-07,5,3,3487,Confirmed,Direct,Business,0.682,52312
DELJUL26-01419,Lajpat Nagar,Upscale,Deluxe,2026-07-08,2026-07-10,2,3,5744,Confirmed,Direct,Family,0.729,34462
DELJUL26-01420,Saket,Midscale,Standard,2026-07-01,2026-07-05,4,3,6421,Cancelled,MakeMyTrip,Group,0.476,0
DELJUL26-01421,Rohini,Economy,Standard,2026-07-02,2026-07-05,3,1,1840,Confirmed,Agoda,Business,0.891,5521
DELJUL26-01422,Rohini,Midscale,Premium,2026-07-05,2026-07-10,5,1,3715,Completed,Walk-in,Leisure,0.847,18574
DELJUL26-01423,Dwarka,Budget,Deluxe,2026-07-18,2026-07-21,3,2,1743,Cancelled,Goibibo,Business,0.822,0
DELJUL26-01424,South Delhi,Economy,Deluxe,2026-07-24,2026-07-27,3,1,7820,Confirmed,Direct,Couple,0.834,23459
DELJUL26-01425,Karol Bagh,Economy,Deluxe,2026-07-19,2026-07-20,1,3,2190,Confirmed,Walk-in,Couple,0.665,6570
DELJUL26-01426,Lajpat Nagar,Economy,Standard,2026-07-07,2026-07-10,3,2,3148,Completed,Booking.com,Leisure,0.922,18889
DELJUL26-01427,South Delhi,Midscale,Premium,2026-07-19,2026-07-22,3,1,6739,Completed,Agoda,Group,0.57,20216
DELJUL26-01428,Rohini,Luxury,Standard,2026-07-08,2026-07-12,4,1,6865,Completed,Booking.com,Family,0.602,27459
DELJUL26-01429,Karol Bagh,Economy,Premium,2026-07-15,2026-07-19,4,2,2061,Completed,Goibibo,Family,0.84,16490
DELJUL26-01430,Greater Kailash,Economy,Deluxe,2026-07-28,2026-08-01,4,2,6581,Confirmed,Direct,Business,0.871,52651
DELJUL26-01431,Saket,Midscale,Standard,2026-07-05,2026-07-08,3,2,6800,Completed,Walk-in,Group,0.619,40802
DELJUL26-01432,Connaught Place,Economy,Deluxe,2026-07-28,2026-07-29,1,2,6332,Cancelled,Direct,Leisure,0.859,0
DELJUL26-01433,Connaught Place,Budget,Suite,2026-07-09,2026-07-11,2,2,4405,Completed,Walk-in,Family,0.73,17620
DELJUL26-01434,Dwarka,Luxury,Standard,2026-07-21,2026-07-24,3,3,4585,Completed,Walk-in,Family,0.583,41263
DELJUL26-01435,Paharganj,Upscale,Standard,2026-07-09,2026-07-14,5,2,3923,Confirmed,Direct,Family,0.893,39229
DELJUL26-01436,Connaught Place,Luxury,Deluxe,2026-07-06,2026-07-10,4,2,12109,Cancelled,Agoda,Business,0.652,0
DELJUL26-01437,Saket,Budget,Standard,2026-07-14,2026-07-19,5,1,3170,Completed,MakeMyTrip,Group,0.859,15851
DELJUL26-01438,South Delhi,Budget,Standard,2026-07-12,2026-07-17,5,2,3948,Confirmed,Booking.com,Business,0.837,39475
DELJUL26-01439,Paharganj,Economy,Deluxe,2026-07-16,2026-07-17,1,1,2138,Completed,Booking.com,Couple,0.408,2138
DELJUL26-01440,Rohini,Luxury,Premium,2026-07-08,2026-07-09,1,3,4483,Confirmed,Booking.com,Couple,0.873,13449
DELJUL26-01441,Greater Kailash,Budget,Deluxe,2026-07-31,2026-08-03,3,1,2595,Completed,Walk-in,Business,0.447,7784
DELJUL26-01442,Dwarka,Budget,Premium,2026-07-21,2026-07-23,2,2,1445,Completed,Direct,Group,0.838,5779
DELJUL26-01443,Rohini,Budget,Standard,2026-07-27,2026-08-01,5,3,1297,Confirmed,MakeMyTrip,Family,0.803,19448
DELJUL26-01444,Saket,Upscale,Standard,2026-07-25,2026-07-28,3,1,8055,Confirmed,MakeMyTrip,Couple,0.792,24164
DELJUL26-01445,Connaught Place,Upscale,Standard,2026-07-23,2026-07-24,1,1,6623,Completed,MakeMyTrip,Couple,0.903,6623
DELJUL26-01446,Aerocity,Midscale,Standard,2026-07-05,2026-07-07,2,3,13365,Confirmed,Booking.com,Family,0.71,80188
DELJUL26-01447,Rohini,Budget,Deluxe,2026-07-19,2026-07-21,2,2,1359,Confirmed,Goibibo,Couple,0.553,5435
DELJUL26-01448,Rohini,Midscale,Standard,2026-07-28,2026-07-29,1,2,1714,Completed,Walk-in,Family,0.706,3428
DELJUL26-01449,Greater Kailash,Economy,Standard,2026-07-03,2026-07-05,2,3,7128,Confirmed,Agoda,Couple,0.768,42769
DELJUL26-01450,Connaught Place,Budget,Deluxe,2026-07-15,2026-07-18,3,1,3473,Completed,Booking.com,Family,0.569,10420
DELJUL26-01451,Karol Bagh,Economy,Deluxe,2026-07-06,2026-07-11,5,1,2853,Confirmed,Walk-in,Group,0.503,14263
DELJUL26-01452,Aerocity,Midscale,Deluxe,2026-07-25,2026-07-29,4,2,13857,Confirmed,MakeMyTrip,Family,0.644,110854
DELJUL26-01453,Aerocity,Economy,Deluxe,2026-07-29,2026-07-30,1,2,10641,Confirmed,Booking.com,Group,0.889,21283
DELJUL26-01454,Karol Bagh,Luxury,Suite,2026-07-02,2026-07-05,3,3,9244,Completed,Agoda,Family,0.728,83196
DELJUL26-01455,Dwarka,Economy,Deluxe,2026-07-25,2026-07-29,4,2,2062,Cancelled,Walk-in,Family,0.888,0
DELJUL26-01456,Aerocity,Economy,Premium,2026-07-12,2026-07-14,2,1,8227,Confirmed,Booking.com,Family,0.635,16454
DELJUL26-01457,Rohini,Midscale,Suite,2026-07-30,2026-08-02,3,3,3651,Confirmed,Booking.com,Business,0.918,32856
DELJUL26-01458,Saket,Midscale,Premium,2026-07-01,2026-07-06,5,2,7962,Completed,Agoda,Couple,0.825,79618
DELJUL26-01459,Karol Bagh,Budget,Standard,2026-07-06,2026-07-07,1,3,1477,Completed,MakeMyTrip,Couple,0.563,4431
DELJUL26-01460,Dwarka,Midscale,Deluxe,2026-07-23,2026-07-26,3,1,3039,Confirmed,Agoda,Business,0.619,9118
DELJUL26-01461,Greater Kailash,Budget,Standard,2026-07-25,2026-07-29,4,3,3463,Confirmed,MakeMyTrip,Group,0.949,41560
DELJUL26-01462,Paharganj,Economy,Standard,2026-07-03,2026-07-07,4,2,1289,Cancelled,Direct,Leisure,0.922,0
DELJUL26-01463,Aerocity,Midscale,Deluxe,2026-07-05,2026-07-10,5,2,12429,Completed,MakeMyTrip,Leisure,0.596,124285
DELJUL26-01464,Aerocity,Midscale,Standard,2026-07-11,2026-07-13,2,3,8601,Completed,Walk-in,Couple,0.85,51605
DELJUL26-01465,Lajpat Nagar,Economy,Deluxe,2026-07-02,2026-07-05,3,1,2922,Completed,Walk-in,Family,0.896,8766
DELJUL26-01466,Connaught Place,Budget,Premium,2026-07-25,2026-07-30,5,1,3183,Completed,MakeMyTrip,Couple,0.501,15914
DELJUL26-01467,South Delhi,Midscale,Standard,2026-07-21,2026-07-26,5,1,6581,Cancelled,Agoda,Couple,0.661,0
DELJUL26-01468,Paharganj,Economy,Premium,2026-07-24,2026-07-29,5,3,1547,Completed,Direct,Couple,0.804,23207
DELJUL26-01469,Greater Kailash,Upscale,Deluxe,2026-07-15,2026-07-19,4,3,7635,Completed,Booking.com,Business,0.396,91617
DELJUL26-01470,Aerocity,Midscale,Premium,2026-07-20,2026-07-22,2,3,8569,Confirmed,Agoda,Business,0.833,51416
DELJUL26-01471,Lajpat Nagar,Upscale,Standard,2026-07-18,2026-07-20,2,1,7933,Completed,Direct,Business,0.477,15866
DELJUL26-01472,South Delhi,Economy,Premium,2026-07-22,2026-07-26,4,1,3377,Confirmed,Agoda,Couple,0.637,13508
DELJUL26-01473,Saket,Upscale,Standard,2026-07-14,2026-07-16,2,2,7070,Completed,Walk-in,Couple,0.575,28281
DELJUL26-01474,Karol Bagh,Budget,Premium,2026-07-21,2026-07-25,4,3,1482,Completed,Direct,Group,0.794,17785
DELJUL26-01475,Rohini,Economy,Standard,2026-07-21,2026-07-24,3,3,1330,Completed,Goibibo,Business,0.49,11969
DELJUL26-01476,Paharganj,Budget,Standard,2026-07-20,2026-07-23,3,3,1232,Confirmed,MakeMyTrip,Leisure,0.63,11091
DELJUL26-01477,Saket,Budget,Standard,2026-07-28,2026-07-30,2,3,1927,Completed,Goibibo,Group,0.509,11561
DELJUL26-01478,Paharganj,Upscale,Deluxe,2026-07-11,2026-07-15,4,3,2917,Confirmed,Walk-in,Family,0.383,35000
DELJUL26-01479,Karol Bagh,Midscale,Premium,2026-07-28,2026-07-31,3,1,4089,Confirmed,Direct,Business,0.856,12266
DELJUL26-01480,Saket,Midscale,Deluxe,2026-07-01,2026-07-03,2,2,7588,Completed,Agoda,Business,0.485,30352
DELJUL26-01481,Connaught Place,Midscale,Deluxe,2026-07-16,2026-07-18,2,2,5219,Confirmed,Booking.com,Group,0.489,20877
DELJUL26-01482,Aerocity,Midscale,Standard,2026-07-14,2026-07-17,3,1,8973,Completed,Goibibo,Couple,0.378,26919
DELJUL26-01483,Karol Bagh,Midscale,Suite,2026-07-27,2026-07-31,4,3,4180,Confirmed,MakeMyTrip,Leisure,0.652,50164
DELJUL26-01484,Connaught Place,Upscale,Standard,2026-07-02,2026-07-07,5,1,8622,Completed,Goibibo,Business,0.511,43110
DELJUL26-01485,Saket,Midscale,Premium,2026-07-07,2026-07-09,2,3,6128,Completed,Agoda,Group,0.689,36766
DELJUL26-01486,Lajpat Nagar,Midscale,Deluxe,2026-07-15,2026-07-16,1,1,2616,Confirmed,Goibibo,Couple,0.784,2616
DELJUL26-01487,Connaught Place,Economy,Standard,2026-07-26,2026-07-31,5,1,3859,Completed,MakeMyTrip,Group,0.378,19297
DELJUL26-01488,Aerocity,Luxury,Standard,2026-07-15,2026-07-16,1,2,22532,Confirmed,Goibibo,Leisure,0.47,45063
DELJUL26-01489,Connaught Place,Budget,Deluxe,2026-07-20,2026-07-25,5,2,6626,Completed,Goibibo,Family,0.585,66263
DELJUL26-01490,Dwarka,Economy,Premium,2026-07-06,2026-07-07,1,2,3566,Completed,Direct,Leisure,0.878,7133
DELJUL26-01491,Karol Bagh,Upscale,Deluxe,2026-07-30,2026-08-01,2,3,7125,Completed,Goibibo,Family,0.416,42748
DELJUL26-01492,Saket,Budget,Premium,2026-07-25,2026-07-30,5,3,2626,Completed,MakeMyTrip,Leisure,0.796,39388
DELJUL26-01493,Aerocity,Budget,Suite,2026-07-02,2026-07-03,1,2,4188,Completed,Direct,Business,0.922,8375
DELJUL26-01494,Paharganj,Economy,Standard,2026-07-22,2026-07-23,1,3,1663,Cancelled,Goibibo,Business,0.397,0
DELJUL26-01495,Saket,Economy,Deluxe,2026-07-05,2026-07-09,4,3,3391,Completed,Goibibo,Leisure,0.55,40695
DELJUL26-01496,Saket,Luxury,Deluxe,2026-07-18,2026-07-19,1,1,6594,Confirmed,Agoda,Group,0.812,6594
DELJUL26-01497,Dwarka,Upscale,Standard,2026-07-22,2026-07-23,1,2,3129,Confirmed,MakeMyTrip,Business,0.911,6258
DELJUL26-01498,Greater Kailash,Economy,Premium,2026-07-29,2026-08-02,4,3,4636,Completed,Agoda,Leisure,0.498,55627
DELJUL26-01499,Saket,Luxury,Standard,2026-07-03,2026-07-08,5,3,9611,Confirmed,Booking.com,Group,0.735,144166
DELJUL26-01500,Lajpat Nagar,Midscale,Deluxe,2026-07-09,2026-07-13,4,1,3010,Confirmed,Goibibo,Leisure,0.789,12042
DELJUL26-01501,Dwarka,Upscale,Deluxe,2026-07-22,2026-07-27,5,1,6006,Completed,Walk-in,Leisure,0.592,30032
DELJUL26-01502,Karol Bagh,Budget,Premium,2026-07-09,2026-07-12,3,1,1871,Cancelled,Goibibo,Group,0.752,0
DELJUL26-01503,Karol Bagh,Economy,Deluxe,2026-07-23,2026-07-27,4,2,3622,Confirmed,Agoda,Family,0.679,28973
DELJUL26-01504,Paharganj,Budget,Deluxe,2026-07-06,2026-07-11,5,3,1081,Confirmed,MakeMyTrip,Business,0.912,16213
DELJUL26-01505,Dwarka,Budget,Standard,2026-07-06,2026-07-09,3,2,1808,Confirmed,Agoda,Business,0.673,10850
DELJUL26-01506,Karol Bagh,Midscale,Premium,2026-07-17,2026-07-18,1,1,2987,Confirmed,Walk-in,Family,0.66,2987
DELJUL26-01507,Rohini,Budget,Standard,2026-07-22,2026-07-24,2,2,1767,Confirmed,Walk-in,Business,0.752,7067
DELJUL26-01508,Saket,Midscale,Deluxe,2026-07-07,2026-07-11,4,1,4875,Completed,Walk-in,Leisure,0.441,19499
DELJUL26-01509,Lajpat Nagar,Midscale,Premium,2026-07-28,2026-08-02,5,3,3396,Confirmed,Booking.com,Group,0.669,50946
DELJUL26-01510,South Delhi,Budget,Standard,2026-07-27,2026-07-31,4,3,4215,Completed,Walk-in,Group,0.38,50576
DELJUL26-01511,Paharganj,Economy,Standard,2026-07-03,2026-07-06,3,2,1829,Completed,MakeMyTrip,Leisure,0.726,10972
DELJUL26-01512,Karol Bagh,Midscale,Standard,2026-07-10,2026-07-12,2,3,2641,Confirmed,Walk-in,Family,0.671,15845
DELJUL26-01513,Greater Kailash,Upscale,Deluxe,2026-07-18,2026-07-22,4,2,12682,Completed,Direct,Family,0.854,101459
DELJUL26-01514,Paharganj,Economy,Standard,2026-07-16,2026-07-21,5,3,1445,Confirmed,Walk-in,Leisure,0.829,21669
DELJUL26-01515,Karol Bagh,Luxury,Standard,2026-07-08,2026-07-10,2,3,8237,Completed,Booking.com,Business,0.61,49423
DELJUL26-01516,Rohini,Upscale,Standard,2026-07-17,2026-07-20,3,1,3956,Completed,Booking.com,Couple,0.745,11867
DELJUL26-01517,Saket,Midscale,Standard,2026-07-30,2026-08-02,3,2,4579,Completed,Goibibo,Leisure,0.532,27472
DELJUL26-01518,Aerocity,Economy,Standard,2026-07-10,2026-07-12,2,1,6832,Confirmed,Goibibo,Business,0.583,13663
DELJUL26-01519,Saket,Midscale,Deluxe,2026-07-07,2026-07-10,3,1,3782,Confirmed,Direct,Business,0.397,11345
DELJUL26-01520,Saket,Upscale,Deluxe,2026-07-23,2026-07-24,1,1,10516,Confirmed,Goibibo,Business,0.41,10516
DELJUL26-01521,Lajpat Nagar,Economy,Deluxe,2026-07-18,2026-07-21,3,1,2517,Completed,Agoda,Couple,0.841,7552
DELJUL26-01522,Greater Kailash,Luxury,Standard,2026-07-22,2026-07-23,1,1,9188,Confirmed,MakeMyTrip,Family,0.933,9188
DELJUL26-01523,Connaught Place,Upscale,Premium,2026-07-21,2026-07-24,3,1,9399,Cancelled,Goibibo,Couple,0.644,0
DELJUL26-01524,Connaught Place,Economy,Deluxe,2026-07-24,2026-07-29,5,3,7493,Confirmed,Walk-in,Family,0.427,112392
DELJUL26-01525,South Delhi,Midscale,Premium,2026-07-23,2026-07-24,1,2,8526,Confirmed,Booking.com,Couple,0.403,17052
DELJUL26-01526,Aerocity,Midscale,Deluxe,2026-07-19,2026-07-21,2,1,12188,Confirmed,Booking.com,Couple,0.377,24376
DELJUL26-01527,Paharganj,Upscale,Standard,2026-07-15,2026-07-19,4,2,4123,Confirmed,Walk-in,Group,0.877,32983
DELJUL26-01528,Connaught Place,Upscale,Deluxe,2026-07-15,2026-07-20,5,3,12712,Completed,Direct,Leisure,0.615,190680
DELJUL26-01529,Aerocity,Budget,Standard,2026-07-09,2026-07-14,5,2,5811,Confirmed,Booking.com,Group,0.878,58109
DELJUL26-01530,Rohini,Budget,Suite,2026-07-14,2026-07-15,1,1,2244,Confirmed,Booking.com,Couple,0.568,2244
DELJUL26-01531,Aerocity,Economy,Deluxe,2026-07-19,2026-07-21,2,1,7302,Cancelled,Agoda,Leisure,0.703,0
DELJUL26-01532,Aerocity,Upscale,Standard,2026-07-23,2026-07-28,5,2,13030,Confirmed,Direct,Leisure,0.754,130304
DELJUL26-01533,Rohini,Economy,Standard,2026-07-24,2026-07-27,3,3,2218,Completed,MakeMyTrip,Leisure,0.38,19962
DELJUL26-01534,Connaught Place,Upscale,Deluxe,2026-07-12,2026-07-17,5,1,10794,Cancelled,MakeMyTrip,Couple,0.759,0
DELJUL26-01535,Lajpat Nagar,Economy,Standard,2026-07-23,2026-07-24,1,3,2208,Cancelled,Direct,Family,0.83,0
DELJUL26-01536,Aerocity,Economy,Standard,2026-07-14,2026-07-15,1,1,7410,Confirmed,Direct,Leisure,0.363,7410
DELJUL26-01537,Connaught Place,Upscale,Premium,2026-07-12,2026-07-14,2,2,9915,Confirmed,MakeMyTrip,Business,0.385,39660
DELJUL26-01538,Connaught Place,Midscale,Standard,2026-07-06,2026-07-07,1,1,9418,Completed,Direct,Family,0.663,9418
DELJUL26-01539,Greater Kailash,Economy,Standard,2026-07-09,2026-07-14,5,2,4879,Completed,Walk-in,Leisure,0.933,48786
DELJUL26-01540,South Delhi,Budget,Standard,2026-07-22,2026-07-27,5,3,4420,Confirmed,MakeMyTrip,Family,0.934,66296
DELJUL26-01541,Saket,Budget,Deluxe,2026-07-07,2026-07-09,2,1,3190,Confirmed,Direct,Leisure,0.416,6381
DELJUL26-01542,Karol Bagh,Budget,Deluxe,2026-07-03,2026-07-04,1,2,2604,Confirmed,Goibibo,Couple,0.807,5207
DELJUL26-01543,Aerocity,Economy,Deluxe,2026-07-09,2026-07-10,1,1,6251,Completed,Agoda,Leisure,0.826,6251
DELJUL26-01544,Dwarka,Midscale,Suite,2026-07-31,2026-08-02,2,2,5515,Confirmed,Goibibo,Couple,0.876,22062
DELJUL26-01545,Karol Bagh,Economy,Standard,2026-07-05,2026-07-09,4,1,2910,Completed,Goibibo,Business,0.376,11641
DELJUL26-01546,Dwarka,Budget,Standard,2026-07-05,2026-07-10,5,1,1529,Confirmed,Direct,Family,0.933,7644
DELJUL26-01547,South Delhi,Economy,Standard,2026-07-13,2026-07-16,3,3,4587,Completed,Agoda,Business,0.843,41284
DELJUL26-01548,Lajpat Nagar,Economy,Standard,2026-07-12,2026-07-17,5,3,2795,Confirmed,Walk-in,Group,0.715,41931
DELJUL26-01549,Saket,Luxury,Standard,2026-07-29,2026-08-03,5,3,10444,Confirmed,MakeMyTrip,Couple,0.39,156657
DELJUL26-01550,Aerocity,Economy,Standard,2026-07-08,2026-07-12,4,3,7327,Confirmed,Direct,Group,0.494,87925
DELJUL26-01551,Karol Bagh,Budget,Premium,2026-07-13,2026-07-14,1,1,2515,Confirmed,Booking.com,Couple,0.558,2515
DELJUL26-01552,Lajpat Nagar,Midscale,Standard,2026-07-10,2026-07-15,5,2,4962,Completed,Goibibo,Group,0.864,49616
DELJUL26-01553,Dwarka,Upscale,Premium,2026-07-08,2026-07-13,5,3,5887,Confirmed,Goibibo,Business,0.807,88312
DELJUL26-01554,South Delhi,Upscale,Premium,2026-07-10,2026-07-13,3,3,9600,Confirmed,Walk-in,Business,0.914,86396
DELJUL26-01555,Saket,Upscale,Deluxe,2026-07-08,2026-07-11,3,2,9996,Completed,MakeMyTrip,Group,0.604,59975
DELJUL26-01556,Connaught Place,Upscale,Premium,2026-07-23,2026-07-27,4,3,11731,Confirmed,Walk-in,Leisure,0.9,140767
DELJUL26-01557,Lajpat Nagar,Midscale,Deluxe,2026-07-25,2026-07-28,3,1,3397,Confirmed,Booking.com,Leisure,0.887,10191
DELJUL26-01558,Greater Kailash,Luxury,Standard,2026-07-06,2026-07-08,2,3,16884,Confirmed,Goibibo,Couple,0.361,101304
DELJUL26-01559,Rohini,Budget,Deluxe,2026-07-16,2026-07-20,4,1,1302,Confirmed,Goibibo,Business,0.494,5208
DELJUL26-01560,Lajpat Nagar,Upscale,Standard,2026-07-09,2026-07-13,4,3,5833,Completed,Booking.com,Business,0.83,69997
DELJUL26-01561,Karol Bagh,Upscale,Standard,2026-07-27,2026-07-28,1,3,5935,Confirmed,MakeMyTrip,Business,0.749,17805
DELJUL26-01562,Karol Bagh,Upscale,Premium,2026-07-04,2026-07-08,4,2,5133,Completed,Agoda,Couple,0.484,41064
DELJUL26-01563,Karol Bagh,Economy,Deluxe,2026-07-13,2026-07-14,1,2,2141,Confirmed,Goibibo,Family,0.819,4281
DELJUL26-01564,Rohini,Upscale,Standard,2026-07-11,2026-07-14,3,1,4023,Confirmed,Goibibo,Leisure,0.54,12068
DELJUL26-01565,Dwarka,Budget,Deluxe,2026-07-12,2026-07-13,1,1,1379,Completed,Goibibo,Family,0.711,1379
DELJUL26-01566,Saket,Midscale,Suite,2026-07-30,2026-08-04,5,1,7665,Completed,Agoda,Couple,0.911,38327
DELJUL26-01567,Rohini,Economy,Standard,2026-07-17,2026-07-21,4,3,2065,Cancelled,Walk-in,Leisure,0.494,0
DELJUL26-01568,South Delhi,Midscale,Standard,2026-07-12,2026-07-15,3,1,8426,Confirmed,MakeMyTrip,Leisure,0.383,25277
DELJUL26-01569,Rohini,Midscale,Standard,2026-07-26,2026-07-29,3,3,3968,Confirmed,MakeMyTrip,Couple,0.746,35716
DELJUL26-01570,Rohini,Economy,Suite,2026-07-25,2026-07-29,4,1,1769,Completed,Walk-in,Group,0.787,7077
DELJUL26-01571,Aerocity,Budget,Deluxe,2026-07-05,2026-07-06,1,3,5485,Completed,MakeMyTrip,Leisure,0.538,16455
DELJUL26-01572,Paharganj,Economy,Standard,2026-07-15,2026-07-18,3,2,2397,Confirmed,Walk-in,Couple,0.631,14383
DELJUL26-01573,Greater Kailash,Midscale,Deluxe,2026-07-13,2026-07-17,4,3,6092,Confirmed,Walk-in,Couple,0.651,73101
DELJUL26-01574,Lajpat Nagar,Midscale,Deluxe,2026-07-14,2026-07-16,2,3,3085,Completed,Agoda,Leisure,0.84,18511
DELJUL26-01575,Connaught Place,Midscale,Standard,2026-07-11,2026-07-14,3,3,4635,Confirmed,Agoda,Business,0.766,41713
DELJUL26-01576,Paharganj,Budget,Premium,2026-07-26,2026-07-28,2,2,1329,Completed,Walk-in,Family,0.514,5315
DELJUL26-01577,Dwarka,Upscale,Deluxe,2026-07-31,2026-08-01,1,2,5214,Completed,Booking.com,Couple,0.514,10428
DELJUL26-01578,Greater Kailash,Midscale,Standard,2026-07-01,2026-07-06,5,2,6572,Confirmed,MakeMyTrip,Family,0.545,65715
DELJUL26-01579,Connaught Place,Budget,Suite,2026-07-27,2026-07-30,3,1,2969,Cancelled,Goibibo,Leisure,0.438,0
DELJUL26-01580,South Delhi,Economy,Standard,2026-07-27,2026-07-29,2,3,4975,Cancelled,Booking.com,Group,0.431,0
DELJUL26-01581,Karol Bagh,Economy,Standard,2026-07-12,2026-07-14,2,3,2426,Completed,Goibibo,Family,0.84,14555
DELJUL26-01582,Karol Bagh,Economy,Standard,2026-07-16,2026-07-20,4,1,1964,Completed,Goibibo,Family,0.849,7856
DELJUL26-01583,Dwarka,Budget,Standard,2026-07-04,2026-07-05,1,1,2297,Cancelled,Goibibo,Family,0.506,0
DELJUL26-01584,Saket,Budget,Deluxe,2026-07-11,2026-07-14,3,1,2673,Confirmed,Goibibo,Family,0.86,8020
DELJUL26-01585,South Delhi,Budget,Standard,2026-07-08,2026-07-10,2,3,4072,Confirmed,Direct,Business,0.692,24432
DELJUL26-01586,Paharganj,Budget,Standard,2026-07-29,2026-08-03,5,2,1897,Completed,MakeMyTrip,Business,0.777,18970
DELJUL26-01587,Lajpat Nagar,Economy,Suite,2026-07-04,2026-07-08,4,1,2632,Confirmed,Walk-in,Leisure,0.878,10530
DELJUL26-01588,Aerocity,Upscale,Standard,2026-07-11,2026-07-15,4,2,12646,Completed,Booking.com,Couple,0.535,101170
DELJUL26-01589,Lajpat Nagar,Midscale,Standard,2026-07-15,2026-07-16,1,2,2717,Confirmed,MakeMyTrip,Business,0.747,5435
DELJUL26-01590,Aerocity,Economy,Standard,2026-07-31,2026-08-01,1,2,5486,Confirmed,Goibibo,Leisure,0.535,10972
DELJUL26-01591,Greater Kailash,Midscale,Premium,2026-07-26,2026-07-29,3,2,4497,Confirmed,Goibibo,Leisure,0.892,26985
DELJUL26-01592,Paharganj,Midscale,Standard,2026-07-30,2026-08-01,2,3,3356,Completed,Booking.com,Group,0.53,20134
DELJUL26-01593,Paharganj,Budget,Standard,2026-07-10,2026-07-14,4,3,2137,Completed,Direct,Family,0.725,25649
DELJUL26-01594,Aerocity,Budget,Premium,2026-07-09,2026-07-13,4,1,4674,Cancelled,Agoda,Couple,0.465,0
DELJUL26-01595,Greater Kailash,Budget,Standard,2026-07-18,2026-07-20,2,3,2409,Confirmed,Goibibo,Family,0.572,14452
DELJUL26-01596,Connaught Place,Midscale,Premium,2026-07-11,2026-07-12,1,2,6365,Completed,Walk-in,Group,0.561,12729
DELJUL26-01597,South Delhi,Economy,Deluxe,2026-07-01,2026-07-03,2,1,5917,Completed,Walk-in,Group,0.8,11834
DELJUL26-01598,Greater Kailash,Economy,Premium,2026-07-26,2026-07-29,3,3,4949,Confirmed,Direct,Couple,0.522,44539
DELJUL26-01599,Lajpat Nagar,Midscale,Standard,2026-07-03,2026-07-05,2,2,5142,Completed,MakeMyTrip,Group,0.546,20567
DELJUL26-01600,Greater Kailash,Luxury,Suite,2026-07-07,2026-07-09,2,2,17200,Completed,Agoda,Business,0.356,68801
DELJUL26-01601,Paharganj,Economy,Standard,2026-07-30,2026-08-01,2,3,1481,Confirmed,Booking.com,Family,0.54,8883
DELJUL26-01602,Greater Kailash,Midscale,Standard,2026-07-23,2026-07-24,1,2,6729,Confirmed,Booking.com,Business,0.513,13457
DELJUL26-01603,Lajpat Nagar,Economy,Deluxe,2026-07-20,2026-07-24,4,1,3516,Cancelled,Direct,Group,0.677,0
DELJUL26-01604,Paharganj,Midscale,Standard,2026-07-05,2026-07-10,5,1,2608,Confirmed,Goibibo,Business,0.591,13040
DELJUL26-01605,Connaught Place,Midscale,Standard,2026-07-08,2026-07-13,5,3,11531,Completed,MakeMyTrip,Couple,0.938,172959
DELJUL26-01606,Lajpat Nagar,Midscale,Deluxe,2026-07-07,2026-07-12,5,2,2637,Cancelled,Walk-in,Business,0.678,0
DELJUL26-01607,Connaught Place,Budget,Standard,2026-07-20,2026-07-24,4,1,5425,Confirmed,Walk-in,Couple,0.394,21701
DELJUL26-01608,Dwarka,Economy,Standard,2026-07-16,2026-07-20,4,1,3014,Confirmed,Direct,Leisure,0.836,12055
DELJUL26-01609,Karol Bagh,Upscale,Standard,2026-07-12,2026-07-13,1,3,6207,Completed,Walk-in,Couple,0.382,18622
